"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"M42804","GOBP_MITOTIC_CELL_CYCLE_PHASE_TRANSITION","254/7046","450/16896",1.26611986796462e-10,1.40412693357276e-06,1.224271274434e-06,"DYNLRB2/CDC20/TTK/SKA1/SKP2/MYC/FOXM1/MYB/NUF2/MUC1/CCNA2/AURKB/MELK/BIRC5/ANLN/UBD/NEK2/CHEK1/KIF14/TRIP13/CDKN2A/BUB1/EGFR/MAD2L1/CCNE1/DLGAP5/CCL2/PSMA5/NDC80/GTPBP4/CDK6/STIL/CCNB2/UBE2C/ORC1/CDCA8/CDK1/AURKA/NFIA/BCAT1/MASTL/SMARCE1/IQGAP3/KANK2/BCL2/CENPF/BLM/SPC25/FHL1/RAB11A/FBXL7/CCNG2/E2F7/TFDP1/CDC25C/CHEK2/ARID2/PLK1/CKS2/CHMP4C/PLK2/MDM2/FBXO31/CDC25A/RRM2/ARID1B/SKA3/KNL1/ANAPC5/EIF4EBP1/CDC6/FBXO5/BUB1B/EPS8/CCNB1/UBE2S/ID4/CCNO/CENPE/RAD21/ABCB1/DONSON/CCNE2/CDKN3/CUL4A/CDKN2D/ZNF207/TACC3/INCENP/DBF4/CCNA1/PPP2CA/TICRR/ADAM17/RAD50/RBL1/ANXA1/DACT1/CDKN2B/SIN3A/RDX/EZH2/PBX1/PPP6C/DDR2/DLG1/RRM1/SKP1/PABIR1/RIOK2/NES/SPC24/PRMT2/ID2/BID/TPR/RCC1/MTBP/DYNC1I2/CCDC57/PIAS1/GSPT1/HASPIN/ESPL1/CDC25B/ACTL6A/NEK11/PSMB7/PTEN/NSMCE2/CDC16/SPDL1/DTL/KLHL18/ZWILCH/PSMB2/DYNC1H1/E2F3/TPRA1/CLSPN/ACVR1B/KLF11/TAOK1/KHDRBS1/EIF4G1/CDK14/DBF4B/CDK2/APPL2/KMT2E/SENP2/ANKRD17/NBN/MRE11/CCNJ/DNM2/ZW10/SMARCA4/PSMA7/AVEN/MIIP/ANAPC1/PSMB4/ZNF655/ANAPC7/DGKZ/RFWD3/MAD2L2/PIM2/JADE1/HEXIM2/NOP53/AKT1/RAD51B/CUL3/PSMA1/PINX1/APC/RCC2/CUL2/CTDSP1/PDIK1L/WAC/TCF3/E2F1/PSME3/CLASP2/CCNY/MBTPS1/CDC73/HINFP/CCNG1/MAD1L1/ATM/CDC34/CDKN2C/RAD17/CCNH/CALM1/NAE1/TAF2/ATAD5/BTN2A2/UBE2A/CCNF/SIRT2/CPSF3/LATS1/PKD2/ACTB/SPAST/ETAA1/SMARCC2/FBXL15/PBRM1/CDC14B/PSMA2/CUL1/DYNC1LI1/GIGYF2/ATR/RINT1/PSMG2/PSMB6/TAOK2/SASS6/LATS2/PKMYT1/RPA2/PKD1/ZNF324/CCNB3/ANAPC11/BRSK2/KCNA5/LSM11/CCNI/TERT/ERCC3/TMOD3/XPC/NPM2/CTDSP2/MBTPS2/DPF1/CACUL1/PPP1R9B/SYF2/TFAP4/PLK3/PRAP1/SMARCD1/KCNH5/CDC14C",254
"M15372","GOBP_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION","253/7046","458/16896",2.32222768957765e-09,1.28767525387081e-05,1.1227359766558e-05,"HORMAD1/DYNLRB2/CDC20/TTK/SKA1/NUF2/MUC1/AURKB/BIRC5/ANLN/UBD/CHEK1/KIF14/TRIP13/CDKN2A/BUB1/EGFR/MN1/MAD2L1/CCNE1/DLGAP5/CCL2/PSMA5/NDC80/GTPBP4/STIL/UBE2C/LYN/ORC1/CDCA8/RFC3/CDK1/AURKA/FAM83D/RAD51/APBB2/SMARCE1/KANK2/BCL2/SIX3/CENPF/BLM/SPC25/FHL1/RAB11A/E2F7/TFDP1/CDC25C/MLF1/PLCG2/CDC45/CHEK2/ARID2/PLK1/RFC4/CHMP4C/MDM2/FBXO31/CDC25A/RRM2/MSH2/CDK16/ARID1B/SKA3/KNL1/ANAPC5/CDC6/FBXO5/BUB1B/CCNB1/CENPE/CDT1/RAD21/DONSON/CCNE2/CUL4A/CDKN2D/ZNF207/INCENP/DBF4/PPP2CA/TICRR/ADAM17/RAD50/PKP3/RBL1/ANXA1/CDK17/DACT1/TIPRL/CDKN2B/FANCD2/SIN3A/RDX/BRCA2/EZH2/PBX1/DDR2/STK38/DLG1/RRM1/SKP1/PABIR1/RIOK2/RHNO1/SPC24/CDK18/SUSD2/USP28/DNA2/PRMT2/ID2/BID/RFC2/TPR/MTBP/DYNC1I2/STXBP4/HASPIN/ESPL1/CDC25B/ACTL6A/CCAR2/NEK11/PSMB7/PTEN/NSMCE2/CDC16/SPDL1/DTL/KLHL18/RFC5/ZWILCH/PSMB2/WDR76/DYNC1H1/TPRA1/CLSPN/KLF11/TAOK1/EIF4G1/CDK14/DBF4B/CDC5L/CDK2/TP53BP1/PAGR1/APPL2/KMT2E/SENP2/ANKRD17/NBN/MRE11/CCNQ/MDC1/ZW10/SMARCA4/PSMA7/AVEN/MIIP/PSMB4/RAD1/ZNF655/ANAPC7/DGKZ/RFWD3/NSUN2/MAD2L2/JADE1/HEXIM2/NOP53/AKT1/ATF5/RAD51B/CUL3/EME2/PSMA1/H2AX/PINX1/APC/MAPK14/RCC2/CTDSP1/PDIK1L/MACROH2A1/WAC/TCF3/E2F1/PSME3/MBTPS1/CDC73/ATF2/HINFP/MAD1L1/EME1/ATM/ING4/CDKN2C/RAD17/CCNH/TBX2/NAE1/ATAD5/BTN2A2/STK33/CDK5/SIRT2/CPSF3/PKD2/ACTB/FEM1B/ERCC6/ETAA1/SMARCC2/PBRM1/CDC14B/PSMA2/CUL1/DYNC1LI1/GIGYF2/ATR/RINT1/NPM1/PSMG2/PSMB6/TAOK2/SASS6/PKMYT1/RPA2/PKD1/ANAPC11/MUS81/CLOCK/CDK15/KCNA5/LSM11/GLI1/TERT/ERCC3/TMOD3/XPC/NPM2/CTDSP2/MBTPS2/DPF1/PPP1R9B/SYF2/TFAP4/PLK3/PRAP1/SMARCD1/KCNH5/CDC14C",253
"M38565","HP_FINGER_CLINODACTYLY","249/7046","455/16896",9.76001929295194e-09,3.6079537986279e-05,3.14580832368619e-05,"TFAP2B/ADAMTS15/SLC2A10/IGF2/TRIP13/BUB1/RRAS2/ZFPM2/SMOC1/COL27A1/CEP55/SPRED2/CDH11/ORC1/GPC3/MEG3/IGF1/KDM4B/SOX6/CKAP2L/RAD51/CASZ1/MIA3/TCF4/AGO2/BBS4/FANCB/BLM/WDR4/NEDD4L/WDR11/BBIP1/ODC1/SIAH1/CDC45/NSD2/BCOR/UBE2T/MECOM/PIEZO2/LMNB2/ARID1B/TTC8/BMP4/ROR2/SMC1A/GJA1/KAT6B/CDC6/PLK4/BUB1B/CENPE/ATP2B1/CEP290/CDT1/RAD21/DONSON/KNSTRN/ZC4H2/SATB2/EBF3/WDR19/NRAS/TWIST1/ORC6/NEK1/MAP3K7/TBX5/MRAS/FANCI/FANCA/KICS2/CLCN3/DACT1/CHD7/PIGL/FANCD2/CHD6/SIN3A/BRCA2/FANCE/CAPRIN1/UBR1/LZTFL1/AMER1/TFAP2A/ZMYM2/TRIO/DNA2/DDX11/EMG1/SNRPN/ATG7/BBS1/PAICS/RFC2/BRAF/TPR/MAPK1/UBE3B/RBM8A/RAB18/VPS13B/SLC9A7/REV3L/IFT27/MAF/IRX5/HSPG2/CEP152/CHRNA7/NSMCE2/CNOT2/OFD1/NCF1/ABCC8/ESCO2/WDR26/PUF60/WDPCP/NAA10/DDX59/FGD1/RIT1/TBX15/FRA10AC1/SCLT1/HNRNPH1/PQBP1/PRDM16/BBS10/GTF2I/RERE/CCDC8/FANCG/BBS7/CCNQ/MEF2C/MCTP2/NUP85/HIC1/ARL6/EXT2/NUP37/RFWD3/NSUN2/IFT122/CEP57/MAD2L2/GRB10/NONO/EVC/KDR/TRPV4/BUD23/SNRPB/KDM5A/UBE3A/AKT1/TRAIP/PAFAH1B1/YWHAE/ALX1/KDM1A/SPOP/BPTF/PIGY/KDM6A/SOS1/MACROH2A1/EIF4A3/POLA1/EP300/LMNA/FGFR2/PCNT/PIK3CD/EHMT1/ERI1/MAPRE2/TMEM147/PRR12/HDAC8/KMT2B/ATP6V1B2/MMP23B/RAI1/CBL/WDR35/DPAGT1/PHIP/COG5/KMT2D/CTNNB1/NKX2-5/POLR1A/GTF2IRD2/TRRAP/CSNK2A1/UBA2/KCNJ11/FANCC/CREBBP/NOG/LIMK1/IFT52/SMAD4/BBS9/DVL3/WIPI2/IFT43/CHD8/COG8/RAF1/ATR/AP1G1/KMT2A/BAZ1B/LEMD3/GDF5/HOXD13/FLT4/NIN/TCTN3/HOXA11/CCNK/PTH1R/EIF4H/STAG1/PDE6D/DNAJC30/ALX3/IHH/TRAPPC9/MAPK8IP3/EFNB1/SIK3/FKBP6/TAF4/PHF21A/GATA6/KCNAB2/GJA8/MYL11/CUL7/CEP295/SRCAP/KCNK4/KCTD1",249
"M5962","GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION","124/7046","204/16896",2.63217830643185e-08,7.2977143545823e-05,6.36294471654815e-05,"DYNLRB2/CDC20/TTK/SKA1/NUF2/TPX2/AURKB/BIRC5/NEK2/KIF14/TRIP13/KIF2C/BUB1/CENPA/MAD2L1/DLGAP5/KIF18B/CEP55/NDC80/UBE2C/NCAPG/NCAPD2/CDCA8/KIF18A/CDK1/NCAPH/SMC4/KIF23/PRC1/CENPF/SPC25/RAB11A/KIFC1/KIF4A/SEH1L/CHEK2/PLK1/CHMP4C/NUSAP1/SKA3/CENPI/KIF15/KNL1/ANAPC5/SMC1A/MYBL2/FBXO5/BUB1B/CCNB1/MAP9/CENPE/CDT1/RAD21/KNSTRN/NCAPG2/ZNF207/INCENP/SMC2/CCSAP/SPC24/TPR/RCC1/EML4/DYNC1I2/HNRNPU/TENT4A/KIF22/CHMP1B/HASPIN/ESPL1/LSM14A/NSMCE2/CDC16/MZT1/SPDL1/PSRC1/OFD1/ZWILCH/RRS1/DYNC1H1/NSL1/RACGAP1/NUMA1/SMARCA5/RAN/WAPL/ZW10/KIF3B/CEP192/WRAP73/PDCD6IP/ANAPC7/MAD2L2/HSPA1A/CUL3/MISP/PINX1/APC/RANGRF/CLASP2/MAD1L1/ATM/HSPA1B/PIBF1/NAT9/CEP97/KIF2A/DYNC1LI1/MAPRE1/DRG1/AKAP8L/BAZ1B/PSMG2/SIRT1/CCDC61/ANAPC11/STAG1/NUDC/AKAP8/KIF25/MAP10/PRAP1/H3-3A/ANKRD53",124
"M13328","GOBP_MITOTIC_NUCLEAR_DIVISION","167/7046","291/16896",4.00429695089397e-08,8.88153063708283e-05,7.74388879808674e-05,"DYNLRB2/CDC20/TTK/SKA1/NUF2/IGF2/TPX2/AURKB/BIRC5/ANLN/NEK2/CHEK1/KIF14/TRIP13/KIF2C/BUB1/CENPA/MAD2L1/TGFA/DLGAP5/KIF18B/CDCA2/CEP55/NDC80/UBE2C/NCAPG/NCAPD2/CDCA8/KIF18A/IGF1/CDK1/AURKA/NCAPH/NFIA/IL1B/SMC4/KIF23/PRC1/CENPF/SPC25/RAB11A/KIFC1/KIF4A/SEH1L/CDC25C/CHEK2/PLK1/CHMP4C/NUSAP1/MKI67/SKA3/CENPI/KIF15/BMP4/KNL1/ANAPC5/SMC1A/MYBL2/DMRT1/FBXO5/BUB1B/EPS8/CCNB1/UBE2S/MAP9/CENPE/CDT1/RAD21/UBE2I/KNSTRN/NCAPG2/BORA/ZNF207/INCENP/SMC2/CCSAP/NDE1/SPC24/TNF/TPR/RCC1/MTBP/EML4/DYNC1I2/HNRNPU/TENT4A/KIF22/PDGFRB/CHMP1B/HASPIN/ESPL1/LSM14A/NSMCE2/CDC16/MZT1/SPDL1/TOM1L1/PSRC1/OFD1/ZWILCH/RRS1/DYNC1H1/NSL1/CCDC86/TOM1L2/RACGAP1/NUMA1/SMARCA5/RAN/WAPL/CCDC8/ZW10/KIF3B/CEP192/WRAP73/PDCD6IP/ANAPC7/MAD2L2/HSPA1A/SPHK1/CUL3/CEP85/MISP/PINX1/APC/RANGRF/CLASP2/MAD1L1/ATM/HSPA1B/PHIP/PIBF1/NAT9/CEP97/REEP3/SIRT2/KIF2A/ANKLE2/SPAST/CDC14B/DYNC1LI1/MAPRE1/DRG1/AKAP8L/BAZ1B/PSMG2/PKMYT1/SIRT1/CCDC61/ANAPC11/CDC42/STAG1/NUDC/AKAP8/NPM2/NDEL1/KIF25/MAP10/PPP1R9B/IL1A/CUL7/L3MBTL1/PRAP1/H3-3A/ANKRD53/FGF8/CDC14C",167
"M13427","GOBP_ENDOTHELIUM_DEVELOPMENT","89/7046","140/16896",1.35895792831572e-07,0.000251180723750355,0.000219006798763302,"CLDN1/LCN2/GSTM3/RHOB/SLC40A1/CXCL10/ZEB1/ICAM1/EDNRA/CLDN5/FOXP1/IL1B/HPSE/MARVELD2/FZD4/FSTL1/TJP3/DSG2/MESP1/EDNRB/CLDN3/ARHGEF26/BMP4/PTPRS/SOX17/CDH5/NR2F2/F11R/ID1/CLIC4/FASN/TIE1/ROBO4/PECAM1/S1PR1/RDX/VEGFA/PLOD3/TNF/MSN/RAP2C/CYSLTR1/ADAMTS12/RAP2B/PDE2A/RAPGEF6/FOXC2/HEY1/AFDN/NOTCH1/PPP1R16B/CD34/STARD13/CSNK2B/PDE4D/BMPR2/RAP1A/RAPGEF3/FGF1/DLL1/KDR/MAGI1/HEG1/PPP1R12A/ABCC1/S1PR2/PDCD10/VEZF1/SOX18/KRIT1/CTNNB1/ADD1/SMAD4/RAPGEF2/TJP1/MYD88/ACVRL1/ROCK1/FOXJ2/BLOC1S6/RAB1A/CD2AP/ATOH8/RAPGEF1/FOXP3/LIPA/GDF2/SCUBE1/VCL",89
"M16023","GOBP_RNA_LOCALIZATION","120/7046","201/16896",1.79460574798891e-07,0.000284316824931386,0.000247898472195882,"SIDT1/IGF2BP3/IGF2BP2/KIF5C/NDC1/NEAT1/NXT2/MX2/SEH1L/MAGOH/PNPT1/DKC1/STAU2/CKAP5/SMG5/XPO5/ALYREF/YBX1/NUP155/NUP205/BICD1/YTHDC1/CCT5/QKI/MAGOHB/CAPRIN1/PABPN1/TPR/RFTN2/HNRNPU/RBM8A/DDX39A/PCID2/SRSF1/NUP50/NUP210/TGFBR2/NUP93/HSF1/RUVBL1/NCBP1/PHAX/FBL/NUP160/KHDRBS1/CHTOP/UPF3B/CCT4/TCP1/CCT7/DCP2/NUP58/RAN/FXR1/SENP2/NCBP2/XPO1/NUP98/SLBP/NUP85/UPF2/GLE1/HNRNPA1/NUTF2/NUP37/NUP88/NSUN2/CCT3/PPP1R21/LRPPRC/RANBP2/ENY2/RANBP17/POLDIP3/MCM3AP/SSB/ZNHIT6/AGFG1/SEM1/THOC5/EIF4A3/RBM33/ATXN2/SRSF3/SIDT2/AHCTF1/NUP153/SUPT6H/ATM/CRYZL1/DHX36/NXT1/FMR1/SHQ1/CCT6A/CCT8/YY1/NUP133/MRPL18/MVP/NRDE2/DDX19A/BORCS5/XPOT/PRPF31/POM121/CETN3/SRSF7/THOC1/IWS1/ATR/AKAP8L/BICD2/NOP10/KHSRP/SEC13/NUP42/NHP2/SMG7/WRAP53",120
"M43009","GOBP_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION","192/7046","348/16896",2.18586149302391e-07,0.00030301504947044,0.000264201627301548,"DYNLRB2/CDC20/TTK/SKA1/NUF2/MUC1/AURKB/BIRC5/ANLN/UBD/CHEK1/KIF14/TRIP13/CDKN2A/BUB1/EGFR/MAD2L1/CCNE1/DLGAP5/CCL2/PSMA5/NDC80/GTPBP4/STIL/UBE2C/ORC1/CDCA8/CDK1/AURKA/SMARCE1/KANK2/BCL2/CENPF/BLM/SPC25/FHL1/RAB11A/E2F7/TFDP1/CDC25C/ARID2/PLK1/CHMP4C/MDM2/FBXO31/CDC25A/RRM2/ARID1B/SKA3/KNL1/ANAPC5/CDC6/FBXO5/BUB1B/CCNB1/CENPE/RAD21/DONSON/CCNE2/CUL4A/CDKN2D/ZNF207/INCENP/DBF4/PPP2CA/TICRR/ADAM17/RAD50/RBL1/ANXA1/DACT1/CDKN2B/SIN3A/RDX/EZH2/PBX1/DDR2/DLG1/RRM1/PABIR1/RIOK2/SPC24/PRMT2/ID2/BID/TPR/MTBP/DYNC1I2/HASPIN/ESPL1/CDC25B/ACTL6A/NEK11/PSMB7/PTEN/NSMCE2/CDC16/SPDL1/DTL/KLHL18/ZWILCH/PSMB2/DYNC1H1/TPRA1/CLSPN/KLF11/TAOK1/EIF4G1/DBF4B/CDK2/APPL2/KMT2E/SENP2/ANKRD17/NBN/MRE11/ZW10/SMARCA4/PSMA7/AVEN/MIIP/PSMB4/ZNF655/ANAPC7/DGKZ/RFWD3/MAD2L2/JADE1/HEXIM2/NOP53/AKT1/RAD51B/CUL3/PSMA1/PINX1/APC/RCC2/CTDSP1/PDIK1L/WAC/TCF3/E2F1/PSME3/MBTPS1/CDC73/MAD1L1/ATM/CDKN2C/RAD17/CCNH/NAE1/ATAD5/BTN2A2/SIRT2/CPSF3/PKD2/ACTB/ETAA1/SMARCC2/PBRM1/CDC14B/PSMA2/DYNC1LI1/GIGYF2/ATR/RINT1/PSMG2/PSMB6/TAOK2/SASS6/PKMYT1/RPA2/PKD1/ANAPC11/KCNA5/LSM11/TERT/ERCC3/TMOD3/XPC/NPM2/CTDSP2/MBTPS2/DPF1/PPP1R9B/SYF2/TFAP4/PLK3/PRAP1/SMARCD1/KCNH5/CDC14C",192
"M17705","GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE","183/7046","330/16896",2.61257692560445e-07,0.000321927534499482,0.00028069159811231,"FOXA1/DYNLRB2/MSX2/CDC20/SKA1/TBX3/IGF2/AURKB/BIRC5/CHEK1/KIF14/BUB1/EGFR/MAD2L1/CCNE1/TGFA/DLGAP5/NDC80/LFNG/SMOC2/STIL/UBE2C/NCAPG/NCAPD2/CDCA8/ASNS/IGF1/CDK1/AURKA/FAM83D/RAD51AP1/NCAPH/FOXG1/IL1B/SMC4/GPSM2/KIF23/RAB11A/E2F7/TFDP1/SCAND3/CDC25C/RARA/PLCG2/FEN1/E2F8/PTK6/PLSCR1/PLK1/MDM2/CDC25A/RRM2/NUSAP1/SKA3/LEF1/KNL1/ANAPC5/EIF4EBP1/ZPR1/RAB11FIP3/DMRT1/CDC6/FBXO5/PLK4/CCPG1/CCNB1/MEIOC/ECT2/RAD21/CCNE2/NCAPG2/CUL4A/INCENP/DBF4/YTHDC2/MAP3K7/ADAM17/SMC2/PKP3/UBE2B/ANXA1/SIN3A/RDX/BRCA2/EZH2/PBX1/DDR2/POC1A/RRM1/TAL1/RHNO1/LRP6/TNF/DDX11/TPR/RCC1/MTBP/DYNC1I2/CCDC57/HNRNPU/STXBP4/MAGEA4/PDGFRB/TGM1/ESPL1/CDC25B/PRKCA/NSMCE2/CDC16/NUDT16/DTL/KLHL18/HSF1/FGFR1/SLF2/CALR/DYNC1H1/PIM1/EIF4G1/CIT/DBF4B/RACGAP1/NUMA1/PAGR1/KMT2E/NR2E1/ANKRD17/PSMD10/USP2/RAD18/RAD23A/TTL/ANAPC7/POC1B/C6orf89/SPHK1/AKT1/RAD51B/PAFAH1B1/CUL3/RCC2/MACROH2A1/DUSP3/TCF3/CEP120/FGFR2/CCNY/CDC73/BCL2L11/MAD1L1/OOEP/PHIP/SMC6/TBX2/SLF1/ATAD5/SIRT2/CPSF3/SPAST/CDC14B/DYNC1LI1/NPM1/GIPC1/SASS6/WIZ/ANAPC11/CDC42/KCNA5/LSM11/GLI1/TERT/NR4A3/TMOD3/NPM2/MAP10/IL1A/CEP295/DRD2/SOX15/HCFC1/PRAP1/FGF8/CDC14C",183
"M14965","GOBP_ESTABLISHMENT_OF_ENDOTHELIAL_BARRIER","41/7046","54/16896",3.25312130148043e-07,0.000356914956501291,0.000311197455310224,"CLDN1/ICAM1/EDNRA/CLDN5/IL1B/HPSE/MARVELD2/TJP3/EDNRB/CLDN3/PTPRS/CDH5/F11R/FASN/ROBO4/PECAM1/RDX/VEGFA/TNF/MSN/RAP2C/RAP2B/PDE2A/RAPGEF6/AFDN/PPP1R16B/PDE4D/RAP1A/RAPGEF3/PPP1R12A/S1PR2/SOX18/ADD1/RAPGEF2/TJP1/MYD88/ROCK1/RAB1A/RAPGEF1/FOXP3/VCL",41
"M536","GOBP_SISTER_CHROMATID_SEGREGATION","141/7046","245/16896",3.54018441976033e-07,0.000356914956501291,0.000311197455310224,"DYNLRB2/CDC20/TTK/SKA1/NUF2/TPX2/AURKB/BIRC5/NEK2/KIF14/TRIP13/KIF2C/BUB1/CENPA/MAD2L1/DLGAP5/KIF18B/CEP55/NDC80/UBE2C/NCAPG/NCAPD2/CDCA8/KIF18A/CDK1/NCAPH/SMARCE1/SMC4/KIF23/PRC1/CENPF/SPC25/RAB11A/KIFC1/KIF4A/SEH1L/CHEK2/ARID2/PLK1/CHMP4C/NUSAP1/ARID1B/SKA3/CENPI/KIF15/KNL1/ANAPC5/SMC1A/MYBL2/CDC6/FBXO5/BUB1B/CCNB1/MAP9/CENPE/CDT1/RAD21/KNSTRN/NCAPG2/ZNF207/TACC3/INCENP/TOP2A/SMC2/CCSAP/RIOK2/SPC24/TPR/RCC1/EML4/DYNC1I2/HNRNPU/TENT4A/KIF22/CHMP1B/HASPIN/ESPL1/ACTL6A/LSM14A/NSMCE2/CDC16/MZT1/SPDL1/PSRC1/OFD1/RMI2/ZWILCH/RRS1/DYNC1H1/NSL1/RACGAP1/NUMA1/SMARCA5/RAN/WAPL/ZW10/KIF3B/SMARCA4/CEP192/ANAPC1/WRAP73/PDCD6IP/ANAPC7/MAD2L2/HSPA1A/CUL3/MISP/PINX1/APC/RANGRF/CLASP2/MAD1L1/ATM/HSPA1B/PIBF1/NAT9/CEP97/LATS1/ACTB/KIF2A/SMARCC2/PBRM1/DYNC1LI1/MAPRE1/DRG1/AKAP8L/BAZ1B/PSMG2/SIRT1/CCDC61/ANAPC11/STAG1/NUDC/AKAP8/KIF25/MAP10/DPF1/PRAP1/H3-3A/SMARCD1/ANKRD53",141
"M17130","GOCC_CHROMOSOMAL_REGION","218/7046","407/16896",7.07164455815262e-07,0.000653537817915938,0.000569825674659561,"CDC20/TTK/SKA1/NUF2/AURKB/BIRC5/NEK2/CENPW/CHEK1/KIF2C/BUB1/CENPA/MAD2L1/SUV39H2/NDC80/CDCA5/NCAPG/NCAPD2/ORC1/CDCA8/ZNF827/KIF18A/OIP5/CDK1/FIRRM/AURKA/RAD51AP1/RAD51/SMARCE1/SYCP2/HJURP/SMC4/DSCC1/MCM4/CENPF/MCM7/BLM/SPC25/CEBPB/CENPL/SEH1L/KANSL1/PURA/FEN1/CHEK2/PPP2R5C/ARID2/PLK1/STN1/CHMP4C/PLK2/MSH2/SKA3/CENPI/KNL1/SMC1A/BUB1B/CCNB1/CKAP5/CENPE/ALYREF/CENPN/CDT1/RAD21/KNSTRN/ERCC6L/ZNF207/INCENP/MCM2/NAT10/TOP2A/PPP2CA/RAD50/H4C12/SGO1/CSNK1A1/SIN3A/BRCA2/EZH2/NDE1/PDS5B/SPC24/DNA2/TPR/MTBP/SUN1/HNRNPU/KIF22/CHMP1B/RPA1/MIS18A/RNF8/ACTL6A/MCM5/NSMCE2/SPDL1/CBX5/ANAPC16/HSF1/PIF1/SLF2/ESCO2/ZWILCH/HDAC2/SGO2/CLIP1/ATF7/H4C11/NSL1/NUP160/CENPH/SMCHD1/PML/SEPTIN2/RIF1/CDK2/SUGT1/TP53BP1/MCM3/SMARCA5/CBX3/ORC5/NBN/MRE11/XPO1/WAPL/NUP98/CHRAC1/ORC3/ZW10/NUP85/SMARCA4/NUP37/RECQL4/SUV39H1/SEPTIN7/CENPO/ERCC6L2/UHRF2/PAFAH1B1/DCTN5/TNKS2/KDM1A/MCM6/EME2/SUMO3/H2AX/PINX1/XRCC5/APC/SSB/RCC2/PPP1R12A/MACROH2A1/THOC5/KMT5B/DCTN4/TEP1/DCLRE1B/TOX4/CLASP2/CDC73/GAR1/AHCTF1/MAD1L1/RANGAP1/ATM/DHX36/SMC6/FMR1/RAD17/SLF1/PPP1CB/ACD/NUP133/POLE3/SIRT2/NSMCE1/GTF2B/CFDP1/ACTB/IKZF1/SMARCC2/PBRM1/PCNA/PPP2R5A/THOC1/WRNIP1/DYNC1LI1/ATR/TINF2/BAZ1B/LRWD1/ZNF618/SNAI1/RPA2/CENPB/SIRT1/SEC13/CDK11B/EZH1/MUS81/NHP2/SUN2/CENPT/DMC1/STAG1/FLYWCH1/TERT/SETX/POLR2B/NDEL1/ZNF330/PHF6/WRAP53/PLK3/H3-3A/SMARCD1",218
"M18371","GOMF_TRANSCRIPTION_COREGULATOR_BINDING","80/7046","127/16896",9.93471389525755e-07,0.000847507516141586,0.000738949650541181,"AR/ESR1/GATA3/PGR/MYC/SIX1/GATA2/TRERF1/ENO1/PPARD/SIX3/HMGA1/RARA/THRB/LEF1/ZBTB16/PPARA/STAT1/RUNX3/LCOR/UBE2I/TWIST1/PER2/MAP3K7/SREBF1/CHD6/EZH2/PBX1/NR5A2/ZBTB7A/RUNX1/RORA/ETS1/HDGF/CNOT2/HDAC2/PHF12/SMAD3/ATF7/CIT/STK36/CCNT2/CBX3/CTBP2/SMARCA4/FOXO3/EPAS1/MED6/RELA/PAX6/PER3/EP300/CREB1/EHMT1/RXRA/ZNF644/HDAC5/RFX5/TFAM/CTNNB1/CREBBP/VGLL4/SMAD4/SP1/ZNF618/WIZ/ZBTB17/MED25/FLYWCH1/TERT/ELOB/NR4A3/SUZ12/HDAC6/PHF1/GATA6/NHLH2/HNF1B/BAIAP2/NR1H4",80
