"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"M42607","GOBP_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY",393,0.545705923920378,2.23341746789143,4.52826826434426e-21,3.73574005213862e-17,3.2654481847116e-17,3200,"tags=43%, list=15%, signal=37%","IGHA1/VTCN1/LTF/CLEC7A/CLEC4E/IGHD/GBP1/IGHM/LYN/PDE4B/CD24/IGKC/KCNN4/TNFRSF21/FCN1/TLR1/IGHG3/THEMIS2/PELI1/CD38/PLCG2/TLR2/CD274/IGHG1/LILRB2/PTPRC/TNFAIP3/LBP/PIK3AP1/IGLC1/CD14/FPR3/FCGR2B/FCGR3B/LCK/CEACAM1/MFHAS1/LILRB1/MAPK1/FCER1G/PRNP/CD86/FCGR2C/FCGR1BP/YES1/LILRB4/NCK1/PRKCQ/NMI/CTLA4/PDCD1LG2/PLSCR1/RAB29/FCGR1A/PTPN22/MALT1/CR1/CYBA/PIK3CD/HLA-DQB1/LAPTM5/RIPK2/FYB1/LCP2/MNDA/STOML2/IFNG/SYK/FPR1/CD8A/FCGR2A/RAB7B/IRAK2/TRDC/LAG3/CD47/MIR18A/MS4A1/CD80/KIT/KLRD1/PLCL2/PTPN2/PAK3/CD72/CD247/MAP3K7/MOG/TRAT1/KHDRBS1/ITK/CD300A/TRAC/LAIR1/SH2D1A/C3AR1/CR2/CYLD/KLRC2/THEMIS/LPXN/CD3D/TLR6/CBL/PRKCB/ITGAM/CD3G/KLHL6/TYROBP/HCK/HLA-DRB1/CD40/KLRC4-KLRK1/DGKZ/PVRIG/FPR2/HLA-G/FOSL2/LILRB3/KLRK1/CCR7/FGR/LAX1/BTN3A2/MYO1G/ADA/SOS1/FCN3/CD8B/IRAK1/NCKAP1L/NR1H3/CD226/ZAP70/TLR4/C5AR1/HLA-DPB1/CLEC2D/C3/BTN2A2/BTN3A3/FYN/TNIP3/CLEC4D/NFAM1/LGALS9/BANK1/CMKLR1/BTLA/DUSP22/LILRA5/CD79B/HLA-A/MAPK8/PIK3CA/ICOSLG/LAT2/UBASH3A/BTK/VAV1/BTN3A1/STAP1/LAIR2/INPP5D/FCRL3/CD79A/SLA2/NFKBIA"
"M11678","GOBP_LEUKOCYTE_MEDIATED_IMMUNITY",420,0.538831596526324,2.21540989517294,6.73288285507546e-21,3.73574005213862e-17,3.2654481847116e-17,3698,"tags=44%, list=17%, signal=37%","IGHA1/ANXA3/CXCL6/IL27RA/CLEC7A/GZMB/IGHD/ICAM1/LYN/CTSC/IGKC/ADORA2B/IL4I1/CALHM6/IGHG3/IL7R/ADGRE2/SLAMF7/PLCG2/IGHV1-69/CD274/TAP2/IGHG1/TLR8/PTPRC/ULBP2/NECTIN4/TREM1/IGLC1/NKG7/CSF2RB/FCGR2B/FCGR3B/CEACAM1/LILRB1/IL1B/PRF1/C1QB/NCF1/FCER1G/ITGB2/FCGR2C/CCL3/FCGR1BP/C1S/LILRB4/C1QA/CCR2/CEBPG/IGLC2/RSAD2/JAK3/FCGR1A/CD2/MALT1/CR1/TNF/PIK3CD/IL18R1/IL2RG/RAB27A/IGHV3-72/PVR/IL6R/CD1A/HLA-F/CD84/C1QC/CARD9/IL2RB/IL21R/IGHV3-73/SYK/IL18/GNAI1/EXO1/CD8A/FCGR2A/CORO1A/PRKAA1/LAG3/SLAMF1/CD80/RIGI/KIT/KLRD1/MAP3K7/CD300A/SH2D1A/CR2/KLRC2/SERPINB9/TNFRSF1B/CBL/HCST/ITGAM/XCL1/HAVCR2/IL12RB1/TYROBP/HLA-B/TIGIT/CD96/CD27/MSH2/HLA-DRB1/HLA-C/CD40/KLRC4-KLRK1/ADAM17/HLA-G/RAC2/IL13RA2/HLA-DRA/KLRK1/CD1E/FGR/RIF1/BTN3A2/TFRC/CD74/IL23A/MYO1G/IL12A/NCKAP1L/CD1D/DDX21/SASH3/CD226/RNF8/IL18RAP/SECTM1/TLR4/HLA-E/CD7/UNC13D/FUT7/NLRP3/C3/BTN3A3/EXOSC3/CRTAM/IL6/LGALS9/BTLA/C2/DUSP22/HLA-A/PIK3CB/RNF19B/LAT2/CLC/BTK/VAV1/C1R/SLAMF6/P2RX7/STAP1/MAD2L2/B2M/INPP5D/CD70/SPN/PIK3CG/SLA2/NSD2/RASGRP1/FES/KLRB1/SCNN1B/MSH6/GZMM/LIG4/TNFSF13/CTSH/ARRB2/SERPINB4/MYD88/TUBB/STX7/SPI1/MILR1/KIR2DL4/CCR6"
"M15770","GOBP_CELL_KILLING",258,0.602256795275846,2.37937842201987,4.71238559364966e-20,1.74311143109101e-16,1.52367134194672e-16,3772,"tags=45%, list=18%, signal=37%","CCL20/CXCL1/CXCL8/CCL18/CXCL2/CXCL13/CXCL6/CCL8/CXCL10/CXCL11/LTF/KRT6A/GZMB/GBP5/ICAM1/GBP1/CTSC/LYZ/CCL13/IL7R/SLAMF7/TAP2/CXCL3/IGHG1/PTPRC/ULBP2/NECTIN4/TREM1/NKG7/FCGR2B/FCGR3B/CEACAM1/LILRB1/CXCL9/PRF1/NCF1/FCGR2C/FCGR1BP/GNLY/GZMA/CEBPG/FCGR1A/CD2/CR1/TGFB2/RAB27A/PVR/CD1A/HLA-F/IL18/CD59/FCGR2A/CORO1A/LAG3/GZMH/KLRD1/SH2D1A/KLRC2/SERPINB9/HCST/ITGAM/XCL1/HAVCR2/IL12RB1/TYROBP/HLA-B/TIGIT/CCL28/HLA-DRB1/HLA-C/KLRC4-KLRK1/HLA-G/HLA-DRA/KLRK1/CD1E/IL23A/IL12A/NCKAP1L/CD1D/CD226/IL18RAP/HLA-E/UNC13D/C3/CRTAM/CCL19/LGALS9/HTN1/CCL11/HLA-A/MAPK8/PIK3CB/RNF19B/VAV1/SLAMF6/P2RX7/STAP1/B2M/INPP5D/RASGRP1/S100A12/KLRB1/SCNN1B/GZMM/CTSH/ARRB2/SERPINB4/MYD88/TUBB/STX7/SPI1/PLA2G2A/KIR2DL4/GBP2/DCD/RPS19"
"M12663","GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY",318,0.55942653374238,2.25119146249632,5.63703235583615e-19,1.56385370131785e-15,1.36698034629027e-15,3535,"tags=46%, list=17%, signal=39%","IGHA1/IL27RA/GZMB/IGHD/ICAM1/CTSC/IGKC/IL4I1/CALHM6/IGHG3/IL7R/SLAMF7/IGHV1-69/CD274/TAP2/IGHG1/TLR8/PTPRC/ULBP2/NECTIN4/IGLC1/NKG7/CSF2RB/FCGR2B/FCGR3B/CEACAM1/LILRB1/IL1B/PRF1/C1QB/FCER1G/FCGR2C/FCGR1BP/C1S/LILRB4/C1QA/CCR2/CEBPG/IGLC2/RSAD2/FCGR1A/CD2/MALT1/CR1/TNF/IL18R1/IL2RG/RAB27A/IGHV3-72/PVR/CD1A/HLA-F/C1QC/CARD9/IL2RB/IL21R/IGHV3-73/IL18/EXO1/CD8A/FCGR2A/CORO1A/PRKAA1/LAG3/SLAMF1/CD80/KLRD1/MAP3K7/SH2D1A/CR2/KLRC2/SERPINB9/TNFRSF1B/HCST/XCL1/HAVCR2/IL12RB1/TYROBP/HLA-B/TIGIT/CD96/CD27/MSH2/HLA-DRB1/HLA-C/CD40/KLRC4-KLRK1/HLA-G/IL13RA2/HLA-DRA/KLRK1/CD1E/RIF1/BTN3A2/TFRC/CD74/IL23A/MYO1G/IL12A/NCKAP1L/CD1D/SASH3/CD226/RNF8/IL18RAP/SECTM1/HLA-E/CD7/UNC13D/FUT7/NLRP3/C3/BTN3A3/EXOSC3/CRTAM/IL6/LGALS9/BTLA/C2/DUSP22/HLA-A/PIK3CB/RNF19B/CLC/BTK/VAV1/C1R/SLAMF6/P2RX7/MAD2L2/B2M/INPP5D/CD70/SPN/SLA2/NSD2/RASGRP1/KLRB1/MSH6/GZMM/LIG4/TNFSF13/CTSH/ARRB2/SERPINB4/MYD88/TUBB"
"M13774","GOBP_HUMORAL_IMMUNE_RESPONSE",298,0.563817205416638,2.25897998324028,7.15206440992347e-18,1.51431988255642e-14,1.32368233403598e-14,2733,"tags=31%, list=13%, signal=27%","CXCL5/MMP7/CCL20/CXCL1/CXCL8/CCL18/CXCL2/PI3/S100A7/SLPI/IGHA1/S100A9/DEFB1/CXCL13/CXCL6/CCL8/CXCL10/CXCL11/LTF/TF/ADM/KRT6A/IGHD/IGHM/CCL5/LYZ/TNFRSF21/CX3CL1/CCL13/FCN1/CCL7/IGHG3/POU2AF1/CCL2/KLK5/CCL4/CXCL3/VSIG4/IGHG1/PTPRC/KLK7/IL7/TREM1/FCGR2B/CXCL9/IL1B/C1QB/CCL3/C1S/GNLY/C1QA/CCR2/GPR183/RNASE2/CR1/NOTCH1/SLC11A1/TNF/HLA-DQB1/GZMK/C1QC/IFNG/EXO1/CD59/ALOX5/XCL2/MS4A1/JCHAIN/SH2D1A/CR2/CD83/XCL1/CCL28/CD37/HLA-DRB1/CCR7/FCN3/CCL26/GATA6/GPI/PRSS3/HLA-E/C3/IL6/RNASE6/BPI/CCL19/HTN1/C2/CCL11/NOTCH2/HLA-A"
"M12516","GOBP_LEUKOCYTE_PROLIFERATION",336,0.5436297869164,2.19541972919021,8.31888712299849e-18,1.51431988255642e-14,1.32368233403598e-14,3182,"tags=43%, list=15%, signal=37%","GAL/IDO1/IL27RA/CDKN2A/IL12RB2/CCL8/GSTP1/VTCN1/SOX11/NPR3/LYN/CD24/CCL5/TNFRSF21/CX3CL1/IL4I1/IL7R/PELI1/CD38/CD274/VSIG4/IL2RA/LILRB2/PTPRC/TNFAIP3/IL7/CSF2RB/FCGR2B/ANXA1/LILRB1/IL1B/MAPK1/TNFSF13B/PRNP/CD86/MYC/LILRB4/NCK1/PRKCQ/CCR2/GPR183/VCAM1/CTLA4/PDCD1LG2/MSN/PTPN22/MALT1/CR1/IL15/CSF2RA/SLC11A1/IL2RG/LAPTM5/RIPK2/CTPS1/JAK2/MNDA/CEBPB/IL2RB/SYK/IL18/CORO1A/SLAMF1/MS4A1/CD80/KIT/PLCL2/CSF1/CD300A/CR2/TNFRSF1B/DOCK8/NCK2/HLA-DPA1/ARG2/XCL1/IRF1/HAVCR2/IL12RB1/LST1/TYROBP/SLC7A1/TCF3/HLA-DRB1/CD40/HLA-DMB/AIF1/HLA-G/FOSL2/RAC2/AZI2/ELF4/PLA2G2D/TFRC/CD74/IL23A/IL12A/ADA/SOS1/IKZF3/NCKAP1L/CD1D/SASH3/DOCK2/NMB/TMEM131L/ZAP70/IRS2/TLR4/HLA-E/GPNMB/EPHB2/HLA-DPB1/DLG1/BTN2A2/FYN/CRTAM/IL6/CCL19/LGALS9/CSF1R/VSIR/CD209/BTLA/TNFSF11/HLA-A/ICOSLG/CLC/PNP/BTK/VAV1/BTN3A1/P2RX7/INPP5D/CD70/FCRL3/SPN/TNFSF8/CD79A/PIK3CG/RASGRP1/PSMB10/TNFSF9"
"M16548","GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS",357,0.535999948495404,2.17763924665947,9.55234674046583e-18,1.51431988255642e-14,1.32368233403598e-14,3178,"tags=42%, list=15%, signal=36%","IGHA1/CXCL13/IL27RA/IL12RB2/CLEC7A/IGHD/ICAM1/CTSC/IGKC/IL4I1/IGHG3/IL7R/PLA2G4A/IGHV1-69/CD274/TAP2/IGHG1/TLR8/PTPRC/TNFAIP3/ULBP2/IGLC1/CSF2RB/FCGR2B/FCGR3B/CEACAM1/ANXA1/LILRB1/IL1B/PRF1/C1QB/TNFSF13B/FCER1G/FCGR2C/PSMB9/CD69/FCGR1BP/C1S/LILRB4/C1QA/PRKCQ/CCR2/RELB/IGLC2/RSAD2/JAK3/FCGR1A/MALT1/CR1/NOTCH1/SLC11A1/TNF/IL18R1/IL2RG/RAB27A/RIPK2/IGHV3-72/PVR/IL6R/CD1A/HLA-F/C1QC/CARD9/IL2RB/IL21R/IGHV3-73/IL18/EXO1/CD8A/FCGR2A/PRKAA1/LAG3/SLAMF1/CD80/KLRD1/MAP3K7/CR2/TNFRSF1B/IRF4/XCL1/HAVCR2/IL12RB1/KLHL6/HLA-B/CD27/MSH2/HLA-DRB1/HLA-C/IL18BP/CD40/NFKB2/ADAM17/HLA-G/IL13RA2/HLA-DRA/CD1E/RIF1/BTN3A2/TFRC/CD74/IL23A/MYO1G/IL12A/ADA/NCKAP1L/PSMB2/CD1D/PSMB8/SASH3/CD226/RNF8/BACH2/IL18RAP/SECTM1/TLR4/HLA-E/CD7/UNC13D/FUT7/EPHB2/NLRP3/C3/BTN3A3/EXOSC3/CRTAM/IL6/CCL19/LGALS9/BTLA/C2/DUSP22/STAT3/HLA-A/CLC/BTK/C1R/SLAMF6/P2RX7/MAD2L2/B2M/IL17RA/SOCS3/INPP5D/CD70/SPN/STAT4/SLA2/NSD2/PSMB10"
"M14645","GOBP_LEUKOCYTE_CELL_CELL_ADHESION",434,0.501264480625298,2.06818788273286,4.78349938781109e-17,6.63531158831746e-14,5.79999300772095e-14,3369,"tags=42%, list=16%, signal=36%","S100A8/S100A9/IDO1/CDKN2A/IL12RB2/VTCN1/ICAM1/LYN/CD24/CCL5/TNFRSF21/IL4I1/ASS1/IL7R/CCL2/PELI1/CD274/RUNX3/VSIG4/HLA-DOB/IL2RA/LILRB2/PTPRC/PPARA/IL7/ADD2/FUT9/LCK/ANXA1/LILRB1/IL1B/ETS1/TNFSF13B/PRNP/CD86/ITGB2/FGL2/PSMB9/CHST2/CD69/YES1/LILRB4/NCK1/PRKCQ/CCR2/VCAM1/CTLA4/SLC39A8/PDCD1LG2/MSN/JAK3/FUT4/PTPN22/MALT1/CR1/IL15/TNF/CHST4/PIK3CD/SEMA4D/IL2RG/HLA-DQB1/LAPTM5/RIPK2/CD44/JAK2/SELE/VNN1/SIRPG/CEBPB/IFNG/SYK/IL18/SIRPA/SELL/HLA-DQA1/SOCS1/CORO1A/PRKAA1/LAG3/CD47/SLAMF1/ICOS/ALOX5/CD80/PTPN2/HLA-DMA/IL1RL2/CD300A/CYLD/GPR65/DOCK8/CBL/CBFB/NCK2/ADTRP/HLA-DPA1/CD83/ITGAM/ARG2/XCL1/IRF1/HAVCR2/IL12RB1/PAG1/TIGIT/CCL28/HLA-DRB5/SLC7A1/CD27/HLA-DRB1/KLRC4-KLRK1/ITGA4/HLA-DMB/HLA-DOA/AIF1/HLA-G/F11R/RAC2/HLA-DRA/KLRK1/CCR7/ACTL6A/LAX1/PLA2G2D/TFRC/CD74/IL23A/ITGB7/IL12A/ADA/IRAK1/NCKAP1L/PSMB2/CD1D/PSMB8/SASH3/OLR1/FERMT3/TMEM131L/ZAP70/HLA-E/EXT1/GPNMB/FUT7/NLRP3/HLA-DPB1/DLG1/BTN2A2/FYN/CRTAM/IL6/TNFAIP8L2/HLA-DRB4/CCL19/LGALS9/VSIR/CD209/BTLA/ADAM8/DUSP22/TNFSF11/HLA-A/NOD2/ICOSLG/PNP/VAV1/ICAM2/MAP3K8/NT5E/SMARCA2/B2M/CD70/SPN/RASGRP1/PSMB10/TNFSF9/ITGAL/NRARP/CD6/ITCH/TNFSF14"
"M16728","GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN",346,0.523520758675741,2.11919777784372,1.48418755265787e-16,1.83000325242716e-13,1.59962436230904e-13,3017,"tags=36%, list=14%, signal=31%","CXCL5/CXCL8/CXCL2/S100A8/S100A7/SLPI/LCN2/SOD2/IDO1/CXCL13/CXCL6/IL12RB2/GSTP1/CXCL10/LTF/GBP5/LYN/PDE4B/CD24/INAVA/CX3CL1/ASS1/TLR1/CLDN1/CCL2/PELI1/PLCG2/SLC7A5/TLR2/CD274/TAP2/LILRB2/TNFAIP3/LBP/CD14/EDN1/CSF2RB/FCGR2B/LILRB1/CXCL9/CASP1/IL1B/MAPK1/CD86/CARD16/MRC1/VCAM1/PDCD1LG2/TNFRSF11A/PTPN22/MALT1/NOTCH1/PPARD/SLC11A1/TNF/CCR5/IL18R1/RIPK2/KMO/JAK2/SELE/OPRK1/CDK19/RPS6KA3/IL10RA/CEBPB/CARD9/PTAFR/IL18/SIRPA/MMP9/IRAK2/HDAC2/IRF8/CD80/CMPK2/MMP3/TNFRSF1B/TLR6/PRKCA/HAVCR2/HCK/CCL28/CD96/IL18BP/CD40/KLRC4-KLRK1/NFKB2/ADAM17/PLAA/FOSL2/KLRK1/CCR7/IRAK3/IL12A/IRAK1/NLRP7/NR1H3/FASLG/IL18RAP/ABCA1/TLR4/C5AR1/AKIRIN2/PTGFR/EPHB2/NLRP3/IL6/TNIP3/BPI/TSPO/LGALS9/FGFR2/ADAM9/MAPK8/NOD2/ALPL/MAP2K3/TIFAB/BTK/P2RX7/STAP1/FBXO3/B2M"
"M10218","GOBP_REGULATION_OF_LEUKOCYTE_PROLIFERATION",264,0.566785621567853,2.23850233494096,6.97045519270262e-16,7.73511412734209e-13,6.76134153692154e-13,3099,"tags=44%, list=15%, signal=38%","GAL/IDO1/IL27RA/CDKN2A/IL12RB2/CCL8/GSTP1/VTCN1/SOX11/LYN/CD24/CCL5/TNFRSF21/IL4I1/PELI1/CD38/CD274/VSIG4/IL2RA/LILRB2/PTPRC/TNFAIP3/IL7/CSF2RB/FCGR2B/ANXA1/LILRB1/IL1B/MAPK1/TNFSF13B/PRNP/CD86/LILRB4/NCK1/PRKCQ/CCR2/GPR183/VCAM1/CTLA4/PDCD1LG2/PTPN22/CR1/IL15/CSF2RA/IL2RG/LAPTM5/RIPK2/JAK2/MNDA/CEBPB/IL2RB/SYK/IL18/CORO1A/SLAMF1/CD80/CSF1/CD300A/TNFRSF1B/NCK2/HLA-DPA1/ARG2/XCL1/IRF1/HAVCR2/IL12RB1/LST1/TYROBP/SLC7A1/TCF3/HLA-DRB1/CD40/HLA-DMB/AIF1/HLA-G/RAC2/PLA2G2D/TFRC/CD74/IL23A/IL12A/ADA/SOS1/IKZF3/NCKAP1L/CD1D/SASH3/NMB/TMEM131L/ZAP70/IRS2/TLR4/HLA-E/GPNMB/EPHB2/HLA-DPB1/DLG1/BTN2A2/CRTAM/IL6/CCL19/LGALS9/CSF1R/VSIR/CD209/BTLA/HLA-A/ICOSLG/CLC/PNP/BTK/INPP5D/CD70/FCRL3/SPN/TNFSF8"
"M10380","GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE",179,0.619792135493649,2.35466577542822,1.42496238416003e-15,1.43752796154762e-12,1.2565577387593e-12,912,"tags=23%, list=4%, signal=22%","CXCL5/MMP7/CCL20/CXCL1/CXCL8/CCL18/CXCL2/PI3/S100A7/SLPI/IGHA1/S100A9/DEFB1/CXCL13/CXCL6/CCL8/CXCL10/CXCL11/LTF/TF/ADM/KRT6A/IGHD/IGHM/CCL5/LYZ/CX3CL1/CCL13/CCL7/IGHG3/CCL2/KLK5/CCL4/CXCL3/IGHG1/KLK7/CXCL9/CCL3/GNLY/RNASE2/SLC11A1"
"M36700","HP_ABNORMALITY_OF_HUMORAL_IMMUNITY",357,0.514890399360108,2.09187621103728,2.9388181108144e-15,2.71767204797562e-12,2.37554463957497e-12,4375,"tags=50%, list=20%, signal=40%","CDCA7/DSG1/KRT5/EGFR/SPIB/IGHM/LYN/TNFSF15/IGKC/IL7R/POU2AF1/PLCG2/FAS/SLC5A6/IL2RA/IGHG1/TLR8/PTPRC/TNFAIP3/FCGR2B/FCGR3B/LCK/IFIH1/AK2/PRF1/ETS1/C1QB/PSMB9/SPP1/C1S/C1QA/CTLA4/MSN/TNFRSF11A/JAK3/PTPN22/MALT1/SAMD9L/CXCR4/BLM/PIK3CD/SEMA4D/IL2RG/HLA-DQB1/CTPS1/SAT1/IL6R/TYMS/C1QC/CARD9/IL2RB/IL21R/IKZF1/SYK/HLA-DQA1/DCLRE1C/CORO1A/IRF8/ICOS/LMNB2/MS4A1/CD247/FBXL4/SH3KBP1/ITK/ADAMTS3/SH2D1A/TIMM8A/CR2/STX11/TNFRSF1B/CD3D/DOCK8/IFNGR1/IRF4/ITGAM/IRF1/TTC7A/IL12RB1/CD3G/NRAS/SLC7A7/TCF3/CD27/HLA-DRB1/CD40/NFKB2/ADAM17/OTULIN/DNMT3B/RAC2/TPP2/IVNS1ABP/TFRC/ZBTB24/IL12A/ADA/IRAK1/NCKAP1L/PSTPIP1/TNFRSF9/PSMB8/SASH3/ZEB2/FASLG/BACH2/CIITA/ORAI1/ZAP70/RFXAP/MOGS/TCN2/TRNT1/UNC13D/C3/TARS1/NAE1/POLD3/BANK1/STAT3/CD79B/PGM3/SLC25A13/ICOSLG/BTK/ARPC5/GTF2E2/KRAS/MAP3K14/FLNA/B2M/CD70/STAT4/CD79A/PIK3CG/NSD2/RASGRP1/PSMB10/CARS1/NFKBIA/RPA1/ITCH/LIG4/ADA2/DOCK11/CSNK2A1/IRF2BP2/MYD88/POLD1/HYOU1/SIK3/SLC35C1/RFX5/SPI1/JAZF1/TNFRSF13C/KRT14/TLR7/MUC5B/TRMU/LAT/CASP10/SERPING1/IL10/MYSM1/PSMB4/SLC19A1/CD3E/KNSTRN/TNIP1/BCL10/NFKB1/STIM1/IRF5/MAN2B1/LMNA/TNPO3"
"M15579","GOBP_DEFENSE_RESPONSE_TO_BACTERIUM",322,0.52085255461285,2.09928952049029,8.60230231556613e-15,7.34305759967979e-12,6.4186409585378e-12,2766,"tags=29%, list=13%, signal=25%","MMP7/CCL20/S100A8/PI3/SLPI/IGHA1/LCN2/S100A9/ANXA3/DEFB1/CXCL13/CXCL6/IL27RA/LTF/CLEC4E/TF/ADM/KRT6A/GBP5/IGHD/GBP1/IGHM/SLAMF8/LYZ/IGHG3/IL7R/KLK5/TLR2/IGHG1/LBP/KLK7/TREM1/OPTN/CASP1/IL1B/NCF1/FCER1G/GNLY/PLAC8/RNASE2/FCGR1A/DUOX1/CYBA/SLC11A1/TNF/IL18R1/RIPK2/IL6R/SEH1L/CEBPB/CARD9/SYK/IL18/GBP4/EMILIN2/MPEG1/IRF8/MAP3K7/JCHAIN/SLC15A2/TLR6/ADAMTS5/ARG2/HAVCR2/OAS2/HCK/EPHA2/KLRC4-KLRK1/FPR2/ADAM17/KLRK1/FGR/RNASE1/IL23A/IL12A/IL18RAP/TLR4/HLA-E/C5AR1/AKIRIN2/CASP4/IL6/RNASE6/ANKRD17/BPI/CLEC4D/HTN1/TAB3/NOTCH2/HLA-A/NOD2/GSDMC"
"M48894","HP_ABNORMAL_LEUKOCYTE_PHYSIOLOGY",350,0.508245463626452,2.06320448737806,1.42151214442039e-14,1.12675144761664e-11,9.84904842919839e-12,4375,"tags=50%, list=20%, signal=40%","CDCA7/DSG1/KRT5/EGFR/SPIB/IGHM/LYN/TNFSF15/IGKC/IL7R/CYBB/POU2AF1/PLCG2/FAS/MCM10/SLC5A6/IL2RA/BCL11B/TLR8/PTPRC/LCK/IFIH1/AK2/PRF1/NCF1/PSMB9/CTLA4/NCF2/RELB/MSN/TNFRSF11A/JAK3/MALT1/SAMD9L/CXCR4/CYBA/BLM/PIK3CD/SEMA4D/IL2RG/RAB27A/HLA-DQB1/LCP2/CTPS1/IL6R/TYMS/CARD9/IL2RB/IL21R/IKZF1/SYK/HLA-DQA1/DCLRE1C/CORO1A/IRF8/ICOS/MS4A1/CD247/FBXL4/SH3KBP1/ITK/ADAMTS3/SH2D1A/TIMM8A/CR2/STX11/STAT1/TNFRSF1B/CD3D/DOCK8/IFNGR1/IRF4/IRF1/TTC7A/IL12RB1/CD3G/NRAS/SLC7A7/TCF3/CD27/HLA-DRB1/CD40/NFKB2/ADAM17/OTULIN/DNMT3B/RAC2/TPP2/WIPF1/IVNS1ABP/TFRC/ZBTB24/IL12A/ADA/NCKAP1L/PSTPIP1/GPI/TNFRSF9/PSMB8/SASH3/ZEB2/FASLG/DOCK2/BACH2/CIITA/ORAI1/ZAP70/RFXAP/MOGS/TCN2/TRNT1/UNC13D/TARS1/NAE1/POLD3/STAT3/CD79B/PGM3/SLC25A13/ICOSLG/PNP/BTK/ARPC5/GTF2E2/KRAS/MAP3K14/FLNA/B2M/IL17RA/CD70/CD79A/PIK3CG/NSD2/RASGRP1/PSMB10/CARS1/NFKBIA/RPA1/ITCH/LIG4/ADA2/DOCK11/CSNK2A1/JMJD1C/IRF2BP2/MYD88/POLD1/HYOU1/SIK3/ESS2/SLC35C1/RFX5/SPI1/NLRC4/TNFRSF13C/KRT14/MUC5B/TRMU/LAT/CASP10/MYSM1/PSMB4/SLC19A1/HIRA/CD3E/KNSTRN/BCL10/NFKB1/STIM1/IRF5/MAN2B1/MRTFA/LMNA/TNPO3"
"M18965","GOMF_ANTIGEN_BINDING",93,0.714264936263116,2.46028012666499,1.63333630732552e-14,1.20834220015942e-11,1.05622414540384e-11,3246,"tags=68%, list=15%, signal=58%","IGHA1/IGLV1-44/IGKV1-17/IGHD/IGHM/IGKV2D-28/IGKV1D-39/IGKV4-1/IGKC/IGLV2-14/IGLV3-25/FCN1/IGHG3/IL7R/SLC7A5/IGHV1-69/IGLV3-19/IGLV3-1/TAP2/HLA-DOB/IGHG1/TAP1/IGLC1/LCK/IGLC2/HLA-DQB1/IGHV3-72/CD1A/HLA-F/IGHV3-73/SIRPA/HLA-DQA1/LAG3/SLAMF1/KLRD1/HLA-DMA/JCHAIN/KLRC2/HLA-DPA1/HLA-B/HLA-DRB5/HLA-DRB1/HLA-C/CD40/ITGA4/HLA-DMB/HLA-DOA/HLA-G/HLA-DRA/CD1E/FCN3/CD1D/HLA-E/HLA-DPB1/C3/TAPBP/HLA-DRB4/CD209/HLA-A/B2M/TRAV12-3/IGLV6-57/IGKV1-5"
"M48496","GOBP_CELLULAR_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN",225,0.570273904115881,2.22117095261579,2.54347049668792e-14,1.76405575635911e-11,1.54197898861705e-11,4604,"tags=53%, list=22%, signal=42%","CXCL5/CXCL8/LCN2/CXCL13/CXCL6/GSTP1/CXCL10/LTF/GBP5/LYN/PDE4B/CX3CL1/ASS1/TLR1/CCL2/PLCG2/SLC7A5/TLR2/CD274/LILRB2/TNFAIP3/LBP/CD14/FCGR2B/LILRB1/CXCL9/CASP1/IL1B/MAPK1/CD86/CARD16/MRC1/PDCD1LG2/PTPN22/MALT1/PPARD/TNF/CCR5/IL18R1/RIPK2/KMO/JAK2/OPRK1/CDK19/CEBPB/PTAFR/IL18/SIRPA/MMP9/IRAK2/IRF8/CD80/CMPK2/MMP3/TNFRSF1B/TLR6/PRKCA/HAVCR2/HCK/CCL28/CD40/KLRC4-KLRK1/PLAA/KLRK1/IRAK3/IRAK1/NLRP7/NR1H3/IL18RAP/ABCA1/TLR4/EPHB2/NLRP3/IL6/TNIP3/BPI/TSPO/ADAM9/MAPK8/NOD2/MAP2K3/TIFAB/STAP1/B2M/SCARB1/ANKRD1/NFKBIA/CD6/LACRT/ACOD1/MYD88/NFKBIB/CD180/CD200/SPI1/IL36G/GBP2/ZC3H12A/MMP8/FCAR/TLR10/NOS3/LITAF/IL10/HMGB1/BMP6/BCR/SASH1/TNIP1/BCL10/NFKB1/IRF5/MAPK14/HDAC5/NR1I2/CD68/LY86/AHR/AKAP8"
